"Boro.Block.Lot","Condo.Section","Address","Neighborhood","Building.Classification","Total.Units","Year.Built","Gross.SqFt","Estimated.Gross.Income","Gross.Income.per.SqFt","Estimated.Expense","Expense.per.SqFt","Net.Operating.Income","Full.Market.Value","Market.Value.per.SqFt","Report.Year"
"1-01613-7501","0267-R1","1255 5 AVENUE","UPPER EAST SIDE (96-110)","R4-CONDOMINIUM",59,1925,63284,1613742,25.5,726500,11.48,887242,6857996,108.37,2015
"1-01171-7501","1058-R1","200 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","R4  -ELEVATOR",358,1997,512280,29871047,58.31,5665817,11.06,24205230,196582995,383.74,2019
"3-02237-7519","3457-R1","135 MIDDLETON STREET","WILLIAMSBURG-CENTRAL","R4-ELEVATOR",14,1942,26964,579187,21.48,205466,7.62,373721,2914000,108.07,2016
"4-04955-7512","0278-R1","139 34 AVENUE","FLUSHING-NORTH","R2-CONDOMINIUM",4,1987,4010,60391,15.06,24782,6.18,35609,239000,59.6,2012
"1-01444-7501","0377-R1","301 EAST 69 STREET","UPPER EAST SIDE (59-79)","R9-CONDOMINIUM",198,1963,206278,6266726,30.38,2044215,9.91,4222511,32481000,157.46,2012
"1-00181-7501","0080-R1","355 GREENWICH STREET","TRIBECA","R2-CONDOMINIUM",10,1983,10962,392220,35.78,162457,14.82,229763,1826000,166.58,2015
"2-02762-7501","0170-R1","1314 SENECA AVENUE","HUNTS POINT","RR-CONDOMINIUM",60,1928,61084,742781,12.16,417204,6.83,325577,2048000,33.53,2014
"4-09177-7501","0184-R2","84-10 101 STREET","WOODHAVEN","R2  -WALK-UP",6,1959,4497,92683,20.61,37100,8.25,55583,437001,97.18,2018
"3-02857-7504","2035-R1","96 WOODPOINT ROAD","WILLIAMSBURG-EAST","R2  -WALK-UP",10,2005,9082,242853,26.74,73837,8.13,169016,1356999,149.42,2019
"1-01683-7501","1479-R1","324 EAST 112 STREET","HARLEM-EAST","R4-CONDOMINIUM",20,2004,22295,724588,32.5,218714,9.81,505874,3818998,171.29,2012
"1-01413-7502","1366-R1","179 EAST 78 STREET","UPPER EAST SIDE (59-79)","R4-CONDOMINIUM",14,1900,9285,376850,40.59,129556,13.95,247294,1886000,203.12,2014
